
中港台日韩,#genre#
CCTV12,http://111.170.157.210:1081/?id=673168185&auth=95d4c11f9a4bc430bf05d5da4ace7ccb92c76f4aab7215f5eee41c88da989355ee918deb9f0d5991758e7704656b836b
CCTV13,http://111.170.157.210:1081/?id=608807423&auth=95d4c11f9a4bc430bf05d5da4ace7ccb85a727691dbbeb0ae33df6490cd1cff4953a1d118a48b8ee4cc27064417a09ba
CCTV14,http://111.170.157.210:1081/?id=624878440&auth=95d4c11f9a4bc430bf05d5da4ace7ccb985da8f05717a42897b929f42dcc3c4b076fcc80e43b88a8e34e34108e972aed
CCTV15,http://111.170.157.210:1081/?id=673168223&auth=95d4c11f9a4bc430bf05d5da4ace7ccbeefbd7d0fc062410d28beb420ab97178329afb58ffa1ea4d630918366ce1fea7
CCTV17,http://111.170.157.210:1081/?id=673168256&auth=95d4c11f9a4bc430bf05d5da4ace7ccbcaa1929f3c6be9d0954357b52e6ed9c26fb81833fb7b4688784edfc91cf82944
东方卫视,http://111.170.157.210:1081/?id=651632648&auth=95d4c11f9a4bc430bf05d5da4ace7ccb8e3b6074f417187c939ab4d40bbe6ab2282f8bfc6098ecb7139fb187c89b9ae1
江苏卫视,http://111.170.157.210:1081/?id=623899368&auth=95d4c11f9a4bc430bf05d5da4ace7ccb60d8c44fd6b4f79e4c4ea182ed9fe718bb0222774566c9cc75a34417fe38207c
广东卫视,http://111.170.157.210:1081/?id=608831231&auth=95d4c11f9a4bc430bf05d5da4ace7ccb4ef00f6766c6d4488c80b60a4dbe29b91976f0c8ca4a972b0d3adbe4e664317e
江西卫视,http://111.170.157.210:1081/?id=783847495&auth=95d4c11f9a4bc430bf05d5da4ace7ccbe7ea217ebcd97cce21c90b4388e0743e34f21024b42160dcae46e279bd295828
河南卫视,http://111.170.157.210:1081/?id=790187291&auth=95d4c11f9a4bc430bf05d5da4ace7ccb7ef9a6b0ab6b191dd0f576595cd5d730c211b191ec17a162e2c1d999d7e4a51a
陕西卫视,http://111.170.157.210:1081/?id=738910838&auth=95d4c11f9a4bc430bf05d5da4ace7ccb73f678f68869892fd0d6309ffb76ee77d7c53aa5e7b6378573e410e79d2ead2d
湖北卫视,http://111.170.157.210:1081/?id=947472496&auth=95d4c11f9a4bc430bf05d5da4ace7ccbb813a2d44de301b23701d8bd9b44230b5d4d664487226fde677131855e2effaa
吉林卫视,http://111.170.157.210:1081/?id=947472500&auth=95d4c11f9a4bc430bf05d5da4ace7ccbb1bfa486255bd6ee26781d4a54826e72ba587256974f975189d6139b6ace3e88
青海卫视,http://111.170.157.210:1081/?id=947472506&auth=95d4c11f9a4bc430bf05d5da4ace7ccba97e718de5074b9c5fe0d9545563c7c4536705ea1315b0ef75e361df730faf52
东南卫视,http://111.170.157.210:1081/?id=849116810&auth=95d4c11f9a4bc430bf05d5da4ace7ccbfc1e410d0168e4a0a009afaa56fab8a3cd2f991d1e7b9b164cb94ce3909030dd
海南卫视,http://111.170.157.210:1081/?id=947472502&auth=95d4c11f9a4bc430bf05d5da4ace7ccb6f628b5a202d7c59f662ee029b8353a9d0f421915c75bb27c717a8f9b71caac7
中国农林卫视,http://111.170.157.210:1081/?id=956904896&auth=95d4c11f9a4bc430bf05d5da4ace7ccb62e10810ea7d7a14850daa8506100093b83efc8adc3a542dac3aa07e83c882b2
兵团卫视,http://111.170.157.210:1081/?id=956923145&auth=95d4c11f9a4bc430bf05d5da4ace7ccb4b93708b16f3d110a49dcd6db098b25552754a8a1fe905919220deb375f9a4b8
辽宁卫视,http://111.170.157.210:1081/?id=630291707&auth=95d4c11f9a4bc430bf05d5da4ace7ccbf67bcf262105435fb7878d9c6d40516fb26d74172d72ce86492f0eb6dd816f5f
宁夏卫视,http://111.170.157.210:1081/?id=738910535&auth=95d4c11f9a4bc430bf05d5da4ace7ccbb39d6e38320b7c570cbf4951fb40f03aa39dc9cb1ebb3bd4b70661e54f3606c1
重庆卫视,http://111.170.157.210:1081/?id=738910914&auth=95d4c11f9a4bc430bf05d5da4ace7ccbaebee3cff9ed4fe6499fe63db2e84b5170bc87de4e3066d8c0293a718e3161bf
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台字幕,http://mytv.cdn.loc.cc/o12.php?id=fct
明珠台字幕,http://mytv.cdn.loc.cc/o12.php?id=mzt
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
明珠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
US National Geographic,http://1tv41.icu:8080/live/6eTxFb/839668/46722.m3u8
US National Geographic,http://cord-cutter.net:8080/live/Rw83jK/946540/46722.m3u8
US National Geographic (East),http://cord-cutter.net:8080/live/Rw83jK/946540/9277.m3u8
National Geographic,http://nocable.cc:8080/rex800@hotmail.com/R07053636260B/9277
Outdoor Channel (1080p),https://amg00718-outdoorchannela-outdoortv-samsungau-uc7mp.amagi.tv/playlist/amg00718-outdoorchannela-outdoortv-samsungau/playlist.m3u8
Discovery Channel,http://143.244.60.30/Discovery_Channel/index.m3u8
History Channel,http://143.244.60.30/history_channel/index.m3u8
BBC Earth,https://dbrb49pjoymg4.cloudfront.net/10001/99951231/hls/playlist.m3u8?ads.xumo_channelId=99951231&ads._fw_ifa_type=&ads._fw_did=a5d70bda-ead6-4221-80e1-4c11aafacc36&ads.amznappId=&ads.lat=&ads.lon=&ads.os=&ads.osv=&ads.asnw=&ads.caid=BBCEarth&ads.csid=xumo_web_BBCEarth_ssai&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads.genre=&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads.xumo_contentId=3921&ads.xumo_contentName=BBCEarth&ads.xumo_providerId=3921&ads.xumo_providerName=BBCEarth&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.channelId=99951231&ads.xumo_platform=web&ads.site_id=&ads.appName=xumo&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
Love Nature,https://dbrb49pjoymg4.cloudfront.net/10001/99991398/hls/playlist.m3u8?ads.xumo_channelId=99991398&ads._fw_ifa_type=&ads._fw_did=2908ba3b-f9d5-4873-a431-f30ef89f13b0&ads.amznappId=&ads.lat=&ads.lon=&ads.os=&ads.osv=&ads.asnw=&ads.caid=LoveNature&ads.csid=xumo_web_LoveNature_ssai&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads.genre=&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads.xumo_contentId=1852&ads.xumo_contentName=LoveNature&ads.xumo_providerId=1852&ads.xumo_providerName=LoveNature&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.channelId=99991398&ads.xumo_platform=web&ads.site_id=&ads.appName=xumo&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
星空娱家台,http://yylunbo.ottiptv.cc/yy/1450556636
星河戏剧台,http://yylunbo.ottiptv.cc/yy/1382736807
星河华剧台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod


星空电视剧台,http://yylunbo.ottiptv.cc/yy/1354952229
风云家乐台,http://yylunbo.ottiptv.cc/yy/1382736903
翡翠台-CH1,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台-CH2,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台-CH3,http://hls.168.us.kg/u/81/master.m3u8
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻 - CH07,https://smt.1678520.xyz/smt3.2.1.php?id=inews_twn
娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
华丽翡翠台,http://cdn10.163189.xyz/163189/jade
香港翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
香港翡翠-黄金台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线功夫,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
POPC,http://bxtv.3a.ink/api.php?id=popc
NOW 新闻台,http://cdn.163189.xyz/163189/now
NOW 财经台,http://hls.168.us.kg/u/333/master.m3u8
NOW 直播台,http://hls.168.us.kg/u/331/master.m3u8
TVB PLUS,https://smt.1678520.xyz/smt3.2.1.php?id=j2_twn
TVB星河国语,http://cdn10.163189.xyz/163189/xinghe
HOY76 频道,http://hls.168.us.kg/u/76/master.m3u8
HOY78 频道,http://hls.168.us.kg/u/78/master.m3u8
ASTRO-HD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
ASTRO-AEC,https://smt.1678520.xyz/smt3.2.1.php?id=AEC
ASTRO-欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
ASTRO-QJ,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
澳门资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳门澳视,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳门综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
天映频道,http://cdn10.163189.xyz/163189/typd
天映经典,http://cdn10.163189.xyz/163189/ccm
星卫电影台,https://k0udeyd8ye5y1czw240ex951x2c10x5302xx1cz.djvod.ndcimgs.com/bs3/video-hls/5240782769998279315_5b89d96c2cad3de2_4681_hlsb.m3u8?x-ks-ptid=178957423116&x-kcdn-pid=12021&kwai-not-alloc=self-cdn&kcdntag=p:Guangdong;i:ChinaTelecom;ft:UNKNOWN;h:UNKNOWN;pn:webserverHls&ocid=63&ss=vpm
TVB翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
TVB翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
翡翠台,https://cdn9.163189.xyz/smt3.1.1.php?id=jade_twn
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,https://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台2,http://r.jdshipin.com/qrfbg
明珠台,http://r.jdshipin.com/ZQ4kN
Plus综合频美,https://cdn6.101.qzz.io/163189/tvbp
RTHK-31,https://cdn9.163189.xyz/smt1.1.php?id=rhk31_twn
RTHK-31,https://cdn9.163189.xyz/smt3.1.1.php?id=rhk31_twn
RTHK-31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK-31,https://smt.1678520.xyz/smt3.2.1.php?id=rhk31_twn
RTHK-32,https://cdn9.163189.xyz/smt1.1.php?id=rhk32_twn
RTHK-32,https://smt.1678520.xyz/smt3.2.1.php?id=rhk32_twn
RTHK-32,https://cdn9.163189.xyz/smt3.1.1.php?id=rhk32_twn
RTHK-32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB Plus,http://r.jdshipin.com/ndGgS
TVBPlus,https://cdn9.163189.xyz/smt1.1.php?id=j2_twn
TVBPlus,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB星河,http://r.jdshipin.com/sXuuD
TVB星河,http://r.jdshipin.com/Voac4
星河,https://smt.1678520.xyz/smt3.2.1.php?id=Xinhe
星河,https://cdn9.163189.xyz/smt1.1.php?id=Xinhe
星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
星河,https://cdn9.163189.xyz/smt3.1.1.php?id=Xinhe

无线千禧台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
无线千禧台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
无线千禧台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
无线千禧台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
无线华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
无线华丽台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
无线华丽台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbjade
无线华丽台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbjade
无线娱乐台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbentertainment
无线娱乐台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbentertainment
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://hls.168.us.kg/u/83/master.m3u8
无线新闻台,https://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻台,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn

hoy77,http://hls.168.us.kg/u/77/master.m3u8
now新闻,http://hls.168.us.kg/u/332/master.m3u8
tvbplus,http://hls.168.us.kg/u/82/master.m3u8
VIU6TV,https://smt.1678520.xyz/smt3.2.1.php?id=viusix_twn
VIU6TV,https://cdn9.163189.xyz/smt3.1.1.php?id=viusix_twn
VIU6TV,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
VIU6TV,https://cdn9.163189.xyz/smt1.1.php?id=viusix_twn
ViuTV,http://r.jdshipin.com/vSJvl
VIUTV,https://smt.1678520.xyz/smt3.2.1.php?id=viu1_twn
VIUTV,https://cdn9.163189.xyz/smt3.1.1.php?id=viu1_twn
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV,https://cdn9.163189.xyz/smt1.1.php?id=viu1_twn
VIUTV'粤频美,https://cdn.163189.xyz/163189/viu
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰中文,https://cdn9.163189.xyz/smt1.1.php?id=phoenixtv_hd
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd

凤凰电影台,http://www.liyajun.top:7088/udp/239.253.93.81:6247
凤凰资讯,http://r.jdshipin.com/0Rp07

凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,https://cdn9.163189.xyz/smt3.1.1.php?id=hkphoenix_twn
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,https://cdn9.163189.xyz/smt1.1.php?id=hkphoenix_twn
凤凰香港,https://smt.1678520.xyz/smt3.2.1.php?id=hkphoenix_twn

澳视澳门,http://r.jdshipin.com/n2YZI
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
重温经典,http://8.138.7.223/tv/cwjd.php
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8

邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
经典电影重温,https://yylunbo.ottiptv.cc/yy/1382793140
星光怀旧台,http://data.3g.yy.com/live/hls/1354936134/1354936134.m3u8
千禧經典台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
HOYTV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
中天新闻,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
东森新闻,http://211.72.174.95:8138/0.ts
恐怖电影院,https://yylunbo.ottiptv.cc/yy/24066336
环球国际频道,http://148.113.160.49:14135/
环球影视频道,http://148.113.160.49:14162/

TNT 剧集频道,http://148.113.160.49:14138/
TNT 电视,http://148.113.160.49:14141/
AMC 米高梅电影,http://148.113.160.49:14207/
CNA 亚洲,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
今日俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
华文三套,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
华文四套,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
华文五套,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
华文七套,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
唐人卫视,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
华丽翡翠台,http://r.jdshipin.com/thuYX
Astro欢喜台,https://cdn9.163189.xyz/smt3.1.1.php?id=Huahee
Astr,https://cdn9.163189.xyz/smt1.1.php?id=Huahee
Astr,http://php.jdshipin.com:8880/smt.php?id=Huahee
Astr QJ,https://cdn9.163189.xyz/smt3.1.1.php?id=Quanjia
Astr QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astr QJ,https://cdn9.163189.xyz/smt1.1.php?id=Quanjia
Astr-AeC,https://cdn9.163189.xyz/smt1.1.php?id=AEC
Astr-AeC,http://php.jdshipin.com:8880/smt.php?id=AEC
Astr-AeC,https://cdn9.163189.xyz/smt3.1.1.php?id=AEC
Astr-AoD,https://cdn9.163189.xyz/smt1.1.php?id=Aodhd
Astr-AoD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astr-AoD,https://cdn9.163189.xyz/smt3.1.1.php?id=Aodhd
Astr欢喜,https://smt.1678520.xyz/smt3.2.1.php?id=Huahee
Astr爱奇艺,https://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
Astr爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astr爱奇艺,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
Astr爱奇艺,https://cdn9.163189.xyz/smt1.1.php?id=Qiyi
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
AMC,http://148.113.160.49:14209
AMC,http://148.113.160.49:14208
HBO,http://148.113.160.49:14188
HBO+,http://148.113.160.49:14194
HBO+,http://148.113.160.49:14193
HBO-family,http://148.113.160.49:14191
HBO-family,http://148.113.160.49:14190
HBO-mundi,http://148.113.160.49:14185
HBO-mundi,http://148.113.160.49:14184
HBO-pop,http://148.113.160.49:14181
HBO-pop,http://148.113.160.49:14182
HBO-xtreme,http://148.113.160.49:14175
HBO-xtreme,http://148.113.160.49:14176
FILM,http://148.113.160.49:14212
FILM,http://148.113.160.49:14211
SONY,http://148.113.160.49:14205
SONY,http://148.113.160.49:14204
SPACE,http://148.113.160.49:14169
SPACE,http://148.113.160.49:14170
STUDLD,http://148.113.160.49:14164
STUDLD,http://148.113.160.49:14163
TELE1,http://148.113.160.49:14146
TELE1,http://148.113.160.49:14145
TELE2,http://148.113.160.49:14148
TELE2,http://148.113.160.49:14149
TELE3,http://148.113.160.49:14151
TELE3,http://148.113.160.49:14152
TELE4,http://148.113.160.49:14155
TELE4,http://148.113.160.49:14154
TELE5,http://148.113.160.49:14157
TELE5,http://148.113.160.49:14158
TELE6,http://148.113.160.49:14161
TELE6,http://148.113.160.49:14160
TNT1,http://148.113.160.49:14139
TNT1,http://148.113.160.49:14140
TNT2,http://148.113.160.49:14142
TNT2,http://148.113.160.49:14143
UNI,http://148.113.160.49:14136
UNI,http://148.113.160.49:14137
USA,http://148.113.160.49:14133
USA,http://148.113.160.49:14134
MEGAPIX,http://148.113.160.49:14172
MEGAPIX,http://148.113.160.49:14173
MODO,http://148.113.160.49:14213
云浮文旅,https://livestream.oeeee.com/slive/28284.m3u8
云浮综合,https://livestream.oeeee.com/slive/28283.m3u8
三沙卫视,http://47.108.20.161:8866/hainan/hainan.php?id=ssws
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
岭南戏曲,http://gs.jianghua.fun:7088/udp/239.77.0.122:5146
汶川4K,http://live.iwcmt.cn:90/live/zhxw.m3u8
河南公共,http://47.108.20.161:8866/henan/henan.php?id=hngg
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
海南公共,http://47.108.20.161:8866/hainan/hainan.php?id=ggpd
海南少儿,http://47.108.20.161:8866/hainan/hainan.php?id=sepd
海南文旅,http://47.108.20.161:8866/hainan/hainan.php?id=wlpd
海南自贸,http://47.108.20.161:8866/hainan/hainan.php?id=jjpd
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
贵州3台,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzwy
贵州4台,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzsh
贵州5台,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzfz
贵州6台,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzkj
贵州7台,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzjj
贵州公共,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzgg
贵州移动,http://47.108.20.161:8866/guizhou/guizhou.php?id=gzyd
WBtv,http://148.113.160.49:14131
WBtv,http://148.113.160.49:14130
Y+剧场,http://hms3659nc3747353871.live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/1.m3u8?tenantId=8601&accountinfo=~~V2.0~SSxnh2gPZaV_9wZMz86ofwc38bf04ecfc078f584095a9c6e91b9e1~3twbaBwUaqzfkJ5qW9C0gp1C11OJXhanim-P8XrfoHFX-jV3R0FL2wbo-VR8pOhzd5938d01ed8f640cebb709a281e7b1d3~ExtInfo9W1qynAo8QtSBzK-JlHBbQ3bb1f3410d135b117fdf58086980a86d:20240603131532:UTC,c864060416ccf5986b3e5940417477879245774,117.148.130.144,20240603131532,4444444684,c864060416ccf5986b3e5940417477879245774,-1,0,1,,,2,1000000201,,,2,23,0,241,9ec0a2dcdcfd4259318d50a38cde552c,,,1,1,140151867,END&fbl=
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://hls.168.us.kg/u/84/master.m3u8
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
TVB plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB plus,http://bxtv.3a.ink/api.php?id=tvbp
TVB plus,https://cdn6.163189.xyz/163189/tvbp
TVB千禧经典,http://bxtv.3a.ink/api.php?id=qxjd
TVB千禧经典,http://php.jdshipin.com/smt.php?id=Tvbclassic
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
RHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
RHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
无线新闻台,http://bxtv.3a.ink/api.php?id=wxxw
凤凰中文HD,http://bxtv.3a.ink/api.php?id=fhzw
